ISO3,Country,Country area (ha),Date Range,Annual Avg. (ha),Year 2023 (ha),(*) Annual Avg. (%),(*) Year (%) 2023
AUT,Austria,8385823,[2006 - 2023],71.89,398,0.00,0.00
BEL,Belgium,3070746,[2006 - 2023],211.56,240,0.01,0.01
BGR,Bulgaria,11158767,[2006 - 2023],9628.67,15845,0.09,0.14
HRV,Croatia,5707857,[2006 - 2023],13493.67,2768,0.24,0.05
CYP,Cyprus,571965,[2006 - 2023],1621.44,1919,0.28,0.34
CZE,Czech Republic,7883578,[2006 - 2023],87.83,,0.00,
DNK,Denmark,4314484,[2006 - 2023],69.17,134,0.00,0.00
EST,Estonia,4548988,[2006 - 2023],21.39,173,0.00,0.00
FIN,Finland,33694010,[2006 - 2023],179.50,205,0.00,0.00
FRA,France,54951621,[2006 - 2023],12422.44,22350,0.02,0.04
DEU,Germany,35783935,[2006 - 2023],609.17,975,0.00,0.00
GRC,Greece,13257480,[2006 - 2023],41073.67,174773,0.31,1.32
HUN,Hungary,9305287,[2006 - 2023],705.89,156,0.01,0.00
IRL,Ireland,7036676,[2006 - 2023],3067.39,4302,0.04,0.06
ITA,Italy,30075506,[2006 - 2023],51229.61,97595,0.17,0.32
LVA,Latvia,6471010,[2006 - 2023],170.22,127,0.00,0.00
LTU,Lithuania,6501683,[2006 - 2023],15.50,305,0.00,0.00
NLD,Netherlands,3766581,[2006 - 2023],101.28,31,0.00,0.00
POL,Poland,31240006,[2006 - 2023],383.72,47,0.00,0.00
PRT,Portugal,9187803,[2006 - 2023],91688.11,36640,1.00,0.40
ROU,Romania,23833860,[2006 - 2023],21234.50,16622,0.09,0.07
SVK,Slovakia,4909927,[2006 - 2023],28.72,,0.00,
SVN,Slovenia,1998091,[2006 - 2023],335.56,112,0.02,0.01
ESP,Spain,50604375,[2006 - 2023],76555.39,91220,0.15,0.18
SWE,Sweden,45004727,[2006 - 2023],2276.33,188,0.01,0.00
