Day,Max (2006 - 2023),Average (2006 - 2023),Min (2006 - 2023),Year 2023
07 Jan,87,9.89,0,12
14 Jan,20,3.61,0,1
21 Jan,36,5.12,0,1
28 Jan,96,8.51,0,2
04 Feb,91,9.83,0,21
11 Feb,96,11.62,0,41
18 Feb,189,26.63,0,189
25 Feb,152,30.63,0,61
03 Mar,235,32.44,0,38
10 Mar,62,18.05,0,53
17 Mar,84,23.29,0,60
24 Mar,434,44.44,0,58
31 Mar,306,52.25,0,146
07 Apr,74,18.11,0,39
14 Apr,54,11.22,0,19
21 Apr,42,9.12,0,7
28 Apr,16,4.70,0,5
05 May,16,4.66,0,5
12 May,10,3.42,0,3
19 May,11,3.96,0,7
26 May,15,4.82,0,1
02 Jun,17,5.81,0,4
09 Jun,16,5.80,0,3
16 Jun,36,10.23,0,7
23 Jun,48,16.13,1,1
30 Jun,71,23.52,2,2
07 Jul,72,25.93,4,8
14 Jul,174,37.47,9,21
21 Jul,124,49.76,9,66
28 Jul,189,59.63,7,122
04 Aug,171,49.06,10,35
11 Aug,184,77.11,11,34
18 Aug,140,48.63,4,38
25 Aug,142,58.29,12,87
01 Sep,115,47.13,12,55
08 Sep,84,35.27,6,22
15 Sep,86,28.39,1,19
22 Sep,88,20.62,2,88
29 Sep,43,12.51,0,15
06 Oct,90,14.13,1,30
13 Oct,113,19.34,0,48
20 Oct,140,21.23,0,43
27 Oct,43,7.06,0,5
03 Nov,22,4.95,0,7
10 Nov,16,4.18,0,3
17 Nov,11,3.13,0,8
24 Nov,13,2.07,0,5
01 Dec,2,0.45,0,2
08 Dec,3,0.96,0,0
15 Dec,8,0.85,0,0
22 Dec,10,1.79,0,9
29 Dec,24,4.24,0,8
