Day,Max (2003 - 2023),Average (2003 - 2023),Min (2003 - 2023),Year 2023
07 Jan,0.67,0.20,0.03,0.58
14 Jan,0.76,0.21,0.05,0.12
21 Jan,0.78,0.24,0.05,0.12
28 Jan,0.89,0.27,0.07,0.10
04 Feb,0.96,0.30,0.06,0.21
11 Feb,0.90,0.34,0.10,0.35
18 Feb,1.03,0.42,0.11,0.65
25 Feb,2.28,0.53,0.06,0.71
03 Mar,2.59,0.69,0.19,0.35
10 Mar,2.07,0.68,0.15,0.42
17 Mar,2.50,0.89,0.25,0.57
24 Mar,3.35,1.13,0.25,0.94
31 Mar,3.81,1.11,0.21,2.51
07 Apr,1.53,0.77,0.25,0.40
14 Apr,1.03,0.51,0.23,0.37
21 Apr,1.47,0.52,0.26,0.37
28 Apr,0.93,0.38,0.16,0.16
05 May,0.78,0.33,0.14,0.17
12 May,0.50,0.25,0.12,0.22
19 May,1.46,0.43,0.15,1.46
26 May,0.96,0.39,0.18,0.44
02 Jun,1.03,0.44,0.16,0.41
09 Jun,1.18,0.53,0.19,0.34
16 Jun,2.13,0.73,0.28,0.73
23 Jun,4.57,1.01,0.33,0.51
30 Jun,4.17,1.29,0.41,0.41
07 Jul,2.36,1.07,0.17,0.17
14 Jul,6.11,1.62,0.49,1.05
21 Jul,12.07,3.07,1.02,3.73
28 Jul,8.29,3.35,1.05,5.68
04 Aug,21.42,3.82,0.97,0.97
11 Aug,16.25,4.36,0.70,1.61
18 Aug,6.96,2.79,0.29,2.09
25 Aug,21.92,4.05,0.58,10.26
01 Sep,4.52,2.03,0.91,2.37
08 Sep,4.40,1.65,0.38,0.63
15 Sep,5.07,1.56,0.53,0.65
22 Sep,2.50,1.20,0.47,1.49
29 Sep,3.06,1.14,0.29,0.48
06 Oct,4.53,1.23,0.27,0.67
13 Oct,3.23,0.90,0.17,0.97
20 Oct,23.23,1.91,0.18,0.86
27 Oct,1.16,0.55,0.12,0.48
03 Nov,0.68,0.42,0.17,0.56
10 Nov,1.01,0.37,0.11,0.23
17 Nov,0.55,0.25,0.07,0.15
24 Nov,0.46,0.20,0.05,0.14
01 Dec,0.59,0.15,0.03,0.06
08 Dec,0.50,0.14,0.02,0.08
15 Dec,1.18,0.17,0.03,0.06
22 Dec,0.77,0.19,0.03,0.12
29 Dec,0.49,0.20,0.05,0.15
