Day,Max (2003 - 2023),Average (2003 - 2023),Min (2003 - 2023),Year 2023
07 Jan,0.28,0.10,0.02,0.18
14 Jan,0.26,0.10,0.02,0.11
21 Jan,0.27,0.11,0.03,0.04
28 Jan,0.40,0.14,0.04,0.04
04 Feb,0.32,0.13,0.03,0.12
11 Feb,0.39,0.14,0.04,0.19
18 Feb,0.46,0.19,0.04,0.31
25 Feb,0.77,0.22,0.04,0.30
03 Mar,1.25,0.28,0.07,0.17
10 Mar,0.75,0.26,0.07,0.16
17 Mar,1.14,0.38,0.12,0.21
24 Mar,1.36,0.43,0.11,0.28
31 Mar,1.62,0.42,0.09,0.89
07 Apr,0.56,0.31,0.12,0.21
14 Apr,0.41,0.24,0.12,0.17
21 Apr,0.71,0.25,0.11,0.14
28 Apr,0.32,0.17,0.08,0.08
05 May,0.40,0.15,0.08,0.08
12 May,0.23,0.12,0.06,0.09
19 May,0.61,0.23,0.08,0.49
26 May,0.40,0.18,0.09,0.18
02 Jun,0.39,0.20,0.09,0.25
09 Jun,0.50,0.23,0.08,0.19
16 Jun,1.35,0.34,0.11,0.38
23 Jun,2.10,0.47,0.15,0.23
30 Jun,1.66,0.59,0.21,0.22
07 Jul,1.16,0.49,0.10,0.11
14 Jul,3.63,0.76,0.17,0.57
21 Jul,6.80,1.39,0.37,2.48
28 Jul,3.53,1.37,0.39,2.43
04 Aug,10.54,1.65,0.36,0.39
11 Aug,7.21,2.00,0.23,1.05
18 Aug,3.51,1.31,0.12,1.29
25 Aug,14.27,2.12,0.30,4.34
01 Sep,2.32,0.92,0.38,0.58
08 Sep,1.88,0.69,0.12,0.34
15 Sep,2.78,0.61,0.20,0.27
22 Sep,1.02,0.43,0.15,0.65
29 Sep,1.25,0.41,0.12,0.18
06 Oct,1.65,0.42,0.10,0.24
13 Oct,1.52,0.33,0.06,0.33
20 Oct,11.61,0.87,0.09,0.29
27 Oct,0.31,0.18,0.04,0.15
03 Nov,0.31,0.15,0.07,0.23
10 Nov,0.60,0.15,0.05,0.09
17 Nov,0.23,0.11,0.02,0.21
24 Nov,0.16,0.08,0.03,0.06
01 Dec,0.19,0.06,0.01,0.03
08 Dec,0.18,0.06,0.01,0.04
15 Dec,0.14,0.06,0.02,0.03
22 Dec,0.32,0.09,0.02,0.06
29 Dec,0.21,0.09,0.03,0.05
