Day,Max (2006 - 2023),Average (2006 - 2023),Min (2006 - 2023),Year 2023
07 Jan,10970,1225.22,0,834
14 Jan,2199,379.33,0,110
21 Jan,13572,1357.05,0,268
28 Jan,9880,1675.45,0,271
04 Feb,8043,1030.38,0,1393
11 Feb,7893,1357.32,0,3150
18 Feb,41270,4678.57,0,18967
25 Feb,25941,4823.12,0,8210
03 Mar,33501,4647.88,0,8238
10 Mar,20767,3520.83,0,5758
17 Mar,20659,4415.28,0,7199
24 Mar,84178,8188.66,0,9023
31 Mar,45558,8880.73,0,35114
07 Apr,25104,3721.01,0,3846
14 Apr,16913,2222.93,0,1691
21 Apr,10455,1867.78,0,1573
28 Apr,3495,728.60,0,201
05 May,16674,1440.00,0,292
12 May,4257,562.45,0,144
19 May,11454,1906.33,0,11454
26 May,2085,625.50,0,198
02 Jun,3452,838.33,0,883
09 Jun,6353,1207.39,0,121
16 Jun,39702,5867.51,0,380
23 Jun,28334,5312.23,50,50
30 Jun,59038,9902.67,148,148
07 Jul,39972,9725.77,601,1406
14 Jul,93518,13424.91,895,5507
21 Jul,103429,25636.89,2420,54805
28 Jul,159156,33103.95,1828,54015
04 Aug,152954,24757.55,3189,20189
11 Aug,128530,31030.96,1487,5082
18 Aug,113944,25678.17,336,113944
25 Aug,260274,35332.62,2080,33776
01 Sep,47375,15474.04,1845,9454
08 Sep,37709,10176.40,604,2319
15 Sep,34816,7073.78,70,1278
22 Sep,15775,3561.65,126,15775
29 Sep,19013,2754.78,0,1138
06 Oct,15535,2305.89,58,1957
13 Oct,126544,10087.73,0,13685
20 Oct,248592,16186.22,0,6855
27 Oct,6936,1423.55,0,379
03 Nov,4073,769.66,0,3161
10 Nov,1893,474.56,0,535
17 Nov,5787,513.72,0,591
24 Nov,1228,189.51,0,302
01 Dec,854,70.83,0,143
08 Dec,697,101.32,0,0
15 Dec,994,99.55,0,0
22 Dec,1330,212.89,0,743
29 Dec,2031,458.23,0,570
