Day,Max (2012 - 2023),Average (2012 - 2023),Min (2012 - 2023),Year 2023
07 Jan,1609,780.42,0,724
14 Jan,1344,745.75,0,498
21 Jan,1756,808.42,115,606
28 Jan,1504,759.33,312,312
04 Feb,1930,828.92,458,852
11 Feb,1853,941.58,391,1563
18 Feb,3922,1527.92,551,2336
25 Feb,3831,1834.42,658,1463
03 Mar,5581,2197.75,961,1090
10 Mar,3918,2079.17,696,959
17 Mar,7425,2747.00,626,1384
24 Mar,11904,3731.83,890,1463
31 Mar,5931,3222.92,720,2797
07 Apr,4449,2418.58,1255,1688
14 Apr,4911,2346.42,1265,1265
21 Apr,3451,2456.92,1163,1460
28 Apr,2549,1947.75,1108,1108
05 May,2469,1735.17,1107,1518
12 May,2581,1843.17,1178,1285
19 May,2856,2014.58,1344,2238
26 May,4012,2126.33,1309,1744
02 Jun,4533,2349.00,1488,2533
09 Jun,3107,2208.83,1229,2029
16 Jun,4536,2555.08,1464,2604
23 Jun,5893,2748.17,1468,1504
30 Jun,4663,3032.42,2069,2069
07 Jul,4986,3419.42,2178,2178
14 Jul,6834,4139.17,2127,3061
21 Jul,11816,5640.92,3029,4188
28 Jul,6487,5175.00,3535,4760
04 Aug,6609,4814.50,2509,2509
11 Aug,13864,6690.50,3140,3140
18 Aug,7637,4865.92,2672,3839
25 Aug,8531,4942.92,2415,8531
01 Sep,7611,4532.42,2743,3393
08 Sep,7401,4082.25,2362,3442
15 Sep,6542,4018.75,2384,2990
22 Sep,5899,3713.17,2205,3176
29 Sep,5332,3254.08,1417,2654
06 Oct,9070,3719.50,1768,2900
13 Oct,11526,3550.17,1373,3196
20 Oct,11087,3669.92,814,1880
27 Oct,5643,2601.58,976,1037
03 Nov,3039,2055.25,910,910
10 Nov,3919,1546.50,704,835
17 Nov,1913,1170.82,589,925
24 Nov,1521,980.27,569,885
01 Dec,1286,793.55,404,484
08 Dec,1607,869.45,345,345
15 Dec,1504,706.83,351,471
22 Dec,1659,738.42,321,733
29 Dec,1610,819.08,446,777
