Day,Max (2012 - 2023),Average (2012 - 2023),Min (2012 - 2023),Year 2023
07 Jan,1609,780.42,0,724
14 Jan,2483,1526.17,0,1222
21 Jan,3975,2334.58,115,1828
28 Jan,5476,3093.92,1100,2140
04 Feb,6618,3922.83,1911,2992
11 Feb,8359,4864.42,2788,4555
18 Feb,9908,6392.33,3637,6891
25 Feb,12446,8226.75,4323,8354
03 Mar,18027,10424.50,5693,9444
10 Mar,20983,12503.67,6831,10403
17 Mar,22956,15250.67,7515,11787
24 Mar,32373,18982.50,8405,13250
31 Mar,38304,22205.42,9125,16047
07 Apr,41236,24624.00,10433,17735
14 Apr,42921,26970.42,12037,19000
21 Apr,44084,29427.33,14837,20460
28 Apr,46145,31375.08,17219,21568
05 May,48614,33110.25,19341,23086
12 May,50284,34953.42,20978,24371
19 May,52247,36968.00,22392,26609
26 May,54901,39094.33,23701,28353
02 Jun,57153,41443.33,25189,30886
09 Jun,58660,43652.17,27545,32915
16 Jun,60853,46207.25,29918,35519
23 Jun,64788,48955.42,32782,37023
30 Jun,68273,51987.83,35079,39092
07 Jul,72120,55407.25,38418,41270
14 Jul,78954,59546.42,42380,44331
21 Jul,87428,65187.33,47254,48519
28 Jul,92838,70362.33,53180,53279
04 Aug,98356,75176.83,55788,55788
11 Aug,105864,81867.33,58928,58928
18 Aug,113501,86733.25,62767,62767
25 Aug,121256,91676.17,68327,71298
01 Sep,126960,96208.58,71529,74691
08 Sep,130243,100290.83,73891,78133
15 Sep,135785,104309.58,76275,81123
22 Sep,139104,108022.75,80144,84299
29 Sep,144436,111276.83,84597,86953
06 Oct,149027,114996.33,89853,89853
13 Oct,152245,118546.50,93049,93049
20 Oct,161557,122216.42,94929,94929
27 Oct,164227,124818.00,95966,95966
03 Nov,166114,126873.25,96876,96876
10 Nov,167256,128419.75,97711,97711
17 Nov,168498,129493.00,98636,98636
24 Nov,169598,130391.58,99521,99521
01 Dec,170407,131119.00,100005,100005
08 Dec,171386,131916.00,100350,100350
15 Dec,171972,132622.83,100821,100821
22 Dec,172650,133361.25,101554,101554
29 Dec,173379,134180.33,102331,102331
