Day,Max (2003 - 2023),Average (2003 - 2023),Min (2003 - 2023),Year 2023
07 Jan,0.95,0.28,0.04,0.83
14 Jan,1.13,0.28,0.05,0.32
21 Jan,0.96,0.30,0.08,0.11
28 Jan,1.13,0.38,0.09,0.10
04 Feb,1.26,0.38,0.06,0.29
11 Feb,1.23,0.39,0.10,0.54
18 Feb,1.29,0.54,0.10,0.85
25 Feb,3.19,0.68,0.09,0.86
03 Mar,4.02,0.88,0.24,0.43
10 Mar,2.78,0.83,0.17,0.50
17 Mar,3.28,1.10,0.31,0.77
24 Mar,4.08,1.26,0.33,0.72
31 Mar,4.91,1.36,0.27,4.19
07 Apr,1.63,0.93,0.32,0.60
14 Apr,1.07,0.65,0.31,0.58
21 Apr,1.99,0.71,0.31,0.57
28 Apr,1.24,0.51,0.21,0.21
05 May,1.12,0.45,0.19,0.20
12 May,0.75,0.34,0.16,0.27
19 May,2.33,0.66,0.22,2.33
26 May,1.59,0.58,0.24,0.70
02 Jun,1.47,0.63,0.23,0.60
09 Jun,1.45,0.75,0.23,0.53
16 Jun,3.14,1.07,0.29,1.18
23 Jun,7.66,1.43,0.37,0.76
30 Jun,6.44,1.91,0.54,0.56
07 Jul,3.82,1.40,0.27,0.27
14 Jul,9.52,2.00,0.47,1.46
21 Jul,20.44,4.07,0.99,5.68
28 Jul,9.35,3.86,1.22,6.89
04 Aug,35.39,4.75,0.99,1.40
11 Aug,25.36,5.89,0.60,2.47
18 Aug,10.92,3.62,0.32,3.02
25 Aug,33.45,5.45,0.75,11.53
01 Sep,6.18,2.45,1.01,1.57
08 Sep,6.29,1.97,0.39,0.88
15 Sep,6.44,1.60,0.51,0.74
22 Sep,2.88,1.17,0.39,1.83
29 Sep,3.40,1.12,0.34,0.48
06 Oct,4.88,1.22,0.29,0.70
13 Oct,4.77,0.93,0.15,0.97
20 Oct,44.07,2.96,0.22,1.02
27 Oct,1.05,0.51,0.12,0.61
03 Nov,0.83,0.42,0.17,0.83
10 Nov,1.58,0.40,0.13,0.27
17 Nov,0.82,0.29,0.06,0.17
24 Nov,0.47,0.23,0.07,0.15
01 Dec,0.63,0.18,0.02,0.08
08 Dec,0.70,0.17,0.03,0.11
15 Dec,0.47,0.17,0.04,0.08
22 Dec,1.12,0.27,0.05,0.15
29 Dec,0.64,0.24,0.06,0.13
