Day,Max (2003 - 2023),Average (2003 - 2023),Min (2003 - 2023),Year 2023
07 Jan,0.95,0.28,0.04,0.83
14 Jan,1.27,0.56,0.14,1.15
21 Jan,1.66,0.87,0.22,1.26
28 Jan,2.50,1.25,0.42,1.36
04 Feb,3.27,1.63,0.49,1.65
11 Feb,3.82,2.02,0.67,2.19
18 Feb,4.23,2.56,1.01,3.04
25 Feb,7.00,3.24,1.28,3.90
03 Mar,7.91,4.12,1.59,4.33
10 Mar,9.96,4.95,1.78,4.83
17 Mar,13.24,6.05,2.76,5.59
24 Mar,16.19,7.31,3.10,6.32
31 Mar,21.10,8.67,3.36,10.51
07 Apr,22.02,9.60,4.00,11.11
14 Apr,22.48,10.26,4.42,11.68
21 Apr,22.88,10.97,5.07,12.26
28 Apr,23.10,11.48,5.60,12.47
05 May,23.66,11.92,5.98,12.67
12 May,23.94,12.27,6.35,12.94
19 May,24.77,12.93,6.88,15.28
26 May,25.10,13.51,7.35,15.97
02 Jun,25.47,14.14,7.58,16.57
09 Jun,25.69,14.89,7.84,17.10
16 Jun,26.40,15.96,8.29,18.28
23 Jun,27.13,17.39,9.20,19.04
30 Jun,32.22,19.31,9.81,19.60
07 Jul,34.44,20.71,10.08,19.87
14 Jul,37.13,22.71,10.54,21.33
21 Jul,57.57,26.78,11.70,27.00
28 Jul,60.66,30.65,14.76,33.90
04 Aug,72.69,35.39,16.57,35.30
11 Aug,82.32,41.28,20.80,37.77
18 Aug,90.86,44.90,22.90,40.79
25 Aug,92.31,50.36,27.58,52.33
01 Sep,96.02,52.81,28.59,53.89
08 Sep,99.66,54.77,29.04,54.77
15 Sep,106.10,56.37,29.56,55.51
22 Sep,108.98,57.54,30.30,57.34
29 Sep,110.62,58.67,30.93,57.83
06 Oct,111.20,59.89,31.39,58.53
13 Oct,112.17,60.82,32.00,59.50
20 Oct,126.67,63.78,32.58,60.52
27 Oct,127.73,64.29,33.25,61.13
03 Nov,128.00,64.71,33.68,61.96
10 Nov,128.47,65.11,33.89,62.23
17 Nov,128.99,65.40,34.00,62.40
24 Nov,129.24,65.63,34.15,62.55
01 Dec,129.36,65.81,34.24,62.63
08 Dec,129.65,65.98,34.33,62.74
15 Dec,129.83,66.15,34.42,62.81
22 Dec,129.95,66.41,34.47,62.97
29 Dec,130.23,66.65,34.61,63.10
